 Bidirectional_traffic_counter, Downlink_counter, PFCPAssociationReleaseRequest_counter, PFCPAssociationReleaseResponse_counter, PFCPAssociationSetupRequest_counter, PFCPAssociationSetupResponse_counter, PFCPAssociationUpdateRequest_counter, PFCPAssociationUpdateResponse_counter, PFCPHeartbeatRequest_counter, PFCPHeartbeatResponse_counter, PFCPNodeReportRequest_counter, PFCPNodeReportResponse_counter, PFCPPFDManagementRequest_counter, PFCPPFDManagementResponse_counter, PFCPSessionDeletionRequest_counter, PFCPSessionDeletionResponse_counter, PFCPSessionEstablishmentRequest_counter, PFCPSessionEstablishmentResponse_counter, PFCPSessionModificationRequest_counter, PFCPSessionModificationResponse_counter, PFCPSessionReportRequest_counter, PFCPSessionSetDeletionRequest_counter, PFCPSessionSetDeletionResponse_counter, PFCPVersionNotSupportedResponse_counter, Uplink_counter, bwd_packets, duration, fwd_packets,PFCPSessionReportResponse_counter,Label
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013659,22,0,Normal
0,0,0,0,0,0,0,0,809,809,0,0,0,0,0,0,790,789,0,0,0,0,0,0,0,1599,119928203,1598,0,Mal_Estab
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,1050,1049,0,0,0,0,0,1072,119800407,1071,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110013405,22,0,Mal_Mod
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110013183,22,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,1032,0,0,0,0,0,23,119801247,1053,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110012494,21,0,Mal_Del
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,23,119856829,1042,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110017017,22,0,Mal_Mod
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119708070,684,0,Normal
0,0,0,0,0,0,0,0,824,824,0,0,0,0,0,0,803,802,0,0,0,0,0,0,0,1627,119935534,1626,0,Mal_Estab
0,0,0,0,0,0,0,0,268,267,0,0,0,0,0,0,244,244,0,0,0,0,0,0,0,512,118982783,511,0,Mal_Estab
0,0,0,0,0,0,0,0,820,820,0,0,0,0,0,0,800,799,0,0,0,0,0,0,0,1620,119937829,1619,0,Mal_Estab
0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015048,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,817,817,0,0,0,0,0,0,796,795,0,0,0,0,0,0,0,1613,119953560,1612,0,Mal_Estab
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,110015711,22,0,Mal_Mod
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,23,119940016,710,0,Normal
0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,872,0,0,0,0,0,23,119835859,893,0,Normal
0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,22,119727976,698,0,Normal
0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,110017535,22,0,Mal_Mod2
0,0,0,0,0,0,0,0,830,829,0,0,0,0,0,0,806,806,0,0,0,0,0,0,0,1636,119892611,1635,0,Mal_Estab
0,0,0,0,0,0,0,0,800,800,0,0,0,0,0,0,780,779,0,0,0,0,0,0,0,1580,119912842,1579,0,Mal_Estab
