c_first,c_first_ack,c_last,c_port,c_rtt_avg,c_rtt_max,c_rtt_min,c_rtt_std,durat,s_ack_cnt,s_ack_cnt_p,s_first,s_first_ack,s_last,s_pkts_all,s_rtt_avg,s_rtt_max,s_rtt_min,s_rtt_std,Label
7.574,0.271,7.574,35240.0,0.430652,0.611,0.261,0.175244,33.141,4.0,1.0,31.122,8.185,31.122,4.0,0.018333,0.05500000212341547,0.01,-0.012362001415610314,Normal
5.335,0.204,5.335,35220.0,0.30699,0.628,0.099,0.282023,41.898,4.01999924518168,1.0,39.58,5.434,39.58,4.0,0.0003330020861625673,0.015,-0.0239999937415123,0.004509,Normal
1.477,0.165,1.477,35308.0,0.14899599955296516,0.187,0.081,0.053703,26.449,4.0,1.0,24.399,1.558,24.399,4.0,0.019999,0.07600000212341547,-0.004000000707805157,0.022539,Normal
1.10499999769032,0.14799999999890287,1.085,35228.0,0.148662,0.218,0.1,0.061655,45.094,4.0,1.0,44.275,1.1350015890225769,44.30499886777252,4.039999790489674,0.024999,0.09099999865889549,0.02,0.005568,Normal
0.939,0.14,0.958999973475933,35298.0,1.556615,3.602,0.118,1.819505,42.514,4.0,1.0,38.042,1.889,38.042,4.0,0.013333,0.022,0.006,-0.021916999329447746,Normal
1.722,0.135,1.722,35316.0,1.468618,4.174,0.107,2.342905,36.559,4.0,1.0,31.33,1.829,31.359999759048222,4.0,0.011666,0.0799999949336052,0.005,0.007638,Normal
1.911,0.53,1.911,35260.0,1.288624,3.049,0.3,1.52835,45.938,4.0,1.0,41.967,2.211,41.967,4.0,0.010333,0.013,0.009,0.002309,Normal
2.01,0.2,2.01,35218.0,1.264291,3.07,0.19,1.573129,59.643,4.0,1.0,56.258,2.543,56.258,4.0,0.008666,0.042999999329447744,-0.006999999776482582,-0.014867999552965163,Normal
6.091999999552965,0.1450002360343933,6.072,35250.03999873251,0.46365199932944773,1.006,0.099,0.498022,53.895,4.0,1.0,52.498,6.171,52.54799634809792,4.0,-0.0583340049546361,0.018,0.008,0.005508,Normal
4.223,0.425,4.223,35222.0,2.973901,8.466999999329447,0.074,4.734096,62.634,4.0,1.0,53.621,4.2770000004470345,53.621,4.0,0.014666,0.018,0.012,-0.036944999105930326,Normal
0.789,0.121,0.789,35342.0,0.122329,0.152,0.107,0.025697,30.41,4.0,1.0,15.857,0.896,15.857,4.0,0.010666,0.06294640219956636,0.009,-0.007917987669289112,Normal
1.008,0.101,1.008,35390.0,0.099997,0.123,0.086,0.020075,8.268,4.0,1.0,3.472,1.094,3.472,4.0,0.009333,0.012,-0.013999997690320015,-0.02694499653548002,Normal
10.340999701529741,0.236,10.321,35364.0,0.20466,0.294,0.102,0.096692,15.819,4.0,1.0,11.821,10.423,11.821,4.0,0.011333,0.018,-0.0019999979138374327,-0.024225993741512297,Normal
0.917,0.126,0.917,35410.0,0.117663,0.146,0.091,0.00753806377696991,14.729,4.0,1.0,2.725,1.008,2.725,4.0,0.007333,0.03999999932944775,-0.005999999776482582,0.003055,Normal
6.007,0.159,6.007,35332.0,1.001967,2.698,0.12800000208616258,1.468866,59.137,4.0,1.0,27.997,6.177,27.997,4.0,-0.006666999552965165,0.021,-0.022999999329447747,0.007095,Normal
0.822,0.152,0.822,35352.0,2.093264,5.224,0.121,2.741615,60.11,4.0,1.0,14.79,1.757,14.79,4.0,0.019999,0.031,0.011,0.010149,Normal
0.801,0.146,0.801,35338.0,1.155295,3.222,0.112,1.789814,73.704,4.0,1.0,22.39,0.913,22.39,4.0,-0.019999993741512297,0.04399630384147167,0.007,0.003606,Normal
2.3,0.088,2.33982113674283,35284.0,0.165661,0.287,0.082,0.107565,105.883,4.0,1.0,53.063,2.428,53.063,4.0,-0.008999999552965165,0.016,-0.023999999329447748,0.005,Normal
34.392,0.158,34.41199999955297,35404.0,0.61298,1.6179999993294478,0.104,0.794648001117587,49.037,4.0,1.0,42.062,34.496,42.062,4.0,0.008,0.050999999105930324,-0.004999999776482582,0.003,Normal
4.881,0.1,4.881,35418.0,0.29099,0.697,0.086,0.351612,42.393,4.0,1.0,6.725,4.967,6.725,4.0,0.008333,0.011,0.004,-0.043059792792737486,Normal
7.055,0.8140018768385052,7.055,35214.0,2.258258,5.945,0.057,3.212755,123.654,4.0,1.0,70.245,7.112,70.245,4.0,0.021999,0.051,0.006,0.005159346899032594,Normal
0.677,0.121,0.677,35604.0,0.155328,0.261,0.093,0.092002,23.777,4.0,1.0,23.077,0.77,23.077,4.0,0.009333,0.011,0.008,-0.028471809339642523,Normal
15.205,0.108,15.205,35556.0,0.524983,1.396999649375677,0.094,0.737871,33.692,4.0,1.0,32.004,15.309,32.004,4.0,0.009,0.014,0.005,-0.025416963007867336,Normal
20.74,0.133,20.74,35480.0,1.375954,3.91,0.104,2.194514,49.336,4.0,1.0,34.596,20.844,34.596,4.0,0.012666,0.019,-0.04299998025596142,0.006028,Normal
10.225999999552965,0.12,10.206,35486.0,0.144662,0.232,0.092,0.076166,48.665,4.0,1.0,12.102,10.298,12.102,4.0,-0.030999999105930327,0.03999999932944775,0.008,0.001,Normal
15.342,0.124,15.342,35580.0,0.957968,2.656,0.106,1.470514,43.196,4.0,1.0,29.464,15.454,29.464,4.0,0.005000011399388313,0.022,-0.02499996580183506,-0.011111977201223373,Normal
10.152,0.07200021860003471,10.152,35668.0,0.23830660291802883,0.323,0.093,0.119939,26.569,4.0,1.0,15.954998533651233,10.301,15.935,4.0,0.009333,0.023999998845160006,-0.034999995380640025,0.004509,Normal
