Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,12/10/2022 23:43,110014747,22,22,352,352,16,16,16,0,16,16,16,0,6.399142108,0.399946382,2558482.488,4702455.075,11001527,5,110014639,5238792.333,5629732.358,11001527,126,110014559,5238788.524,5630043.349,11001824,42,0,0,0,0,176,176,0.199973191,0.199973191,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,22,352,22,352,-1,-1,22,0,414.3,148.7757821,609,189,11001001.4,399.6668613,11001527,11000451,Mal_Del
157.90.35.62-172.21.0.110-0-0-0,172.21.0.110,0,157.90.35.62,0,0,22/11/2022 05:01:17 PM,119846997,117,119,0,0,0,0,0,0,0,0,0,0,0,1.969177417,509987.2213,473903.5794,993390,37210,118783496,1023995.655,3019.760521,1031824,1016058,119846997,1015652.517,90908.38803,1048850,38275,0,0,0,0,0,0,0.976244736,0.992932681,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117,0,119,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal
172.21.0.100-172.21.0.120-80-34460-6,172.21.0.120,34460,172.21.0.100,80,6,4/10/2022 22:48,110008141,35,25,1687,497,81,0,48.2,35.93032473,65,0,19.88,20.4416242,19.85307615,0.54541418,1864544.763,3928072.62,10000865,5,110008013,3235529.794,4748545.748,10000865,60,110008127,4583671.958,5089855.294,10001072,109,0,1,0,0,1120,800,0.318158272,0.227255908,0,81,36.86885246,33.27234858,1107.04918,0,0,0,1,1,0,0,0,0,37.48333333,48.2,19.88,0,0,0,0,0,0,35,1687,25,497,-1,501,23,0,507.6363636,105.2209796,610,229,10000185.73,537.7683685,10000865,9999159,Mal_Estab
172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,1/11/2022 15:09,110026209,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.74075104,0.545324614,1864851,3928819.728,10005069,2,110026169,3236063.794,4749472.068,10005069,40,110026203,4584425.125,5090856.102,10005316,78,0,1,0,0,1120,800,0.318106025,0.227218589,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,290.1818182,91.75818021,497,182,10002039.27,1338.434167,10005069,10000412,Mal_Mod
172.21.0.107-172.21.0.110-8805-8805-17,172.21.0.107,8805,172.21.0.110,8805,17,1/11/2022 15:23,119927826,1086,1088,59936,22773,56,16,55.18968692,5.637835034,56,16,20.93106618,1.276000956,689.6564605,18.12756949,55189.97975,56140.77134,151983,46,119819909,110433.0959,16430.75542,152184,703,119927826,110329.1868,16769.88571,152310,147,0,0,0,0,8688,8704,9.055446398,9.072123095,16,56,38.05287356,17.613594,310.2386934,0,0,0,0,0,0,0,0,1,38.07037718,55.18968692,20.93106618,0,0,0,0,0,0,1086,59936,1088,22773,-1,-1,1086,0,0,0,0,0,0,0,0,0,Normal
172.21.0.107-172.21.0.110-8805-8805-17,172.21.0.107,8805,172.21.0.110,8805,17,22/11/2022 03:59:23 PM,119896301,1024,1,57344,56,56,56,56,0,56,56,56,0,478.7470466,8.549054403,117086.2314,12277.22695,208684,91449,119772349,117079.52,12281.35245,208684,91449,0,0,0,0,0,0,0,0,0,8192,8,8.540713862,0.008340541,56,56,56,0,0,0,0,0,0,0,0,0,0,0,56.05463415,56,56,0,0,0,0,0,0,1024,57344,1,56,-1,-1,1024,0,0,0,0,0,0,0,0,0,Normal
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 23:10,120000000,1637,1637,30232,236272,21,16,18.46792914,2.500558163,276,16,144.3323152,130.0290245,2220.866667,27.28333333,36663.61137,37828.93194,132298,9,119999578,73349.37531,15197.87785,132730,79,119999594,73349.38509,15178.93277,132735,93,0,0,0,0,13096,13096,13.64166667,13.64166667,16,276,81.45954198,111.4619124,12423.75791,0,0,0,0,0,0,0,0,1,81.48442272,18.46792914,144.3323152,0,0,0,0,0,0,1637,30232,1637,236272,-1,-1,1637,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.120,8805,172.21.0.110,8805,17,1/11/2022 15:06,110012229,21,23,336,368,16,16,16,0,16,16,16,0,6.399288574,0.399955536,2558423.93,4702451.488,11001711,8,110011996,5500599.8,5643379.16,11001759,18,110012130,5000551.364,5606546.523,11001796,24,0,0,0,0,168,184,0.190887869,0.209067666,16,16,16,0,0,0,0,0,0,0,0,0,0,1,16.36363636,16,16,0,0,0,0,0,0,21,336,23,368,-1,-1,21,0,262.3,136.2310537,536,110,11000936.4,471.7605796,11001711,11000163,Mal_Mod
172.21.0.110-172.21.0.120-8805-8805-17,172.21.0.110,8805,172.21.0.120,8805,17,4/10/2022 22:56,119946803,1516,1516,27991,218476,21,16,18.46372032,2.500561603,276,16,144.1134565,130.0292033,2054.802578,25.27787256,39573.34312,41124.70009,134921,11,119946390,79172.53465,17713.60853,135335,136,119946331,79172.49571,17718.88802,135434,46,0,0,0,0,12128,12128,12.63893628,12.63893628,16,276,81.35278602,111.40381,12410.80888,0,0,0,0,0,0,0,0,1,81.37961741,18.46372032,144.1134565,0,0,0,0,0,0,1516,27991,1516,218476,-1,-1,1516,0,0,0,0,0,0,0,0,0,Mal_Estab
172.21.0.100-172.21.0.120-80-52918-6,172.21.0.120,52918,172.21.0.100,80,6,1/11/2022 16:23,110043978,35,25,1687,485,81,0,48.2,35.93032473,65,0,19.4,19.91230775,19.73756347,0.54523656,1865152.169,3929300.89,10007620,2,110043807,3236582.559,4750018.874,10007620,79,110043974,4585165.583,5091467.454,10007820,87,0,1,0,0,1120,800,0.31805466,0.2271819,0,81,36.67213115,33.2469153,1105.357377,0,0,0,1,1,0,0,0,0,37.28333333,48.2,19.4,0,0,0,0,0,0,35,1687,25,485,-1,501,23,0,633.8181818,377.4922034,1649,282,10003336.82,2382.877161,10007620,10000432,Mal_Mod
