c_ip,c_port,c_pkts_all,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_bytes_all,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_ip,s_port,s_pkts_all,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_bytes_all,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,c_isint,s_isint,c_iscrypto,s_iscrypto,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,fqdn,dns_rslv,req_tm,res_tm,Label
192.168.21.225,35240,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,33.141,7.574,31.122,7.574,31.122,0.271,8.185,1,1,0,0,1,0,1,0.430652,0.261,0.611,0.175244,3,64,64,0.018333,0.01,0.025,0.007638,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35220,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,41.898,5.335,39.58,5.335,39.58,0.204,5.434,1,1,0,0,1,0,1,0.30699,0.099,0.628,0.282023,3,64,64,0.010333,0.006,0.015,0.004509,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35308,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,26.449,1.477,24.399,1.477,24.399,0.165,1.558,1,1,0,0,1,0,1,0.128996,0.081,0.187,0.053703,3,64,64,0.019999,0.006,0.046,0.022539,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35228,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,45.094,1.085,44.275,1.085,44.275,0.148,1.185,1,1,0,0,1,0,1,0.148662,0.1,0.218,0.061655,3,64,64,0.024999,0.02,0.031,0.005568,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35298,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,42.514,0.939,38.042,0.939,38.042,0.14,1.889,1,1,0,0,1,0,1,1.556615,0.118,3.602,1.819505,3,64,64,0.013333,0.006,0.022,0.008083,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35316,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,36.559,1.722,31.33,1.722,31.33,0.135,1.829,1,1,0,0,1,0,1,1.468618,0.107,4.174,2.342905,3,64,64,0.011666,0.005,0.02,0.007638,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35260,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,45.938,1.911,41.967,1.911,41.967,0.53,2.211,1,1,0,0,1,0,1,1.288624,0.3,3.049,1.52835,3,64,64,0.010333,0.009,0.013,0.002309,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35218,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,59.643,2.01,56.258,2.01,56.258,0.2,2.543,1,1,0,0,1,0,1,1.264291,0.19,3.07,1.573129,3,64,64,0.008666,0.003,0.013,0.005132,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35250,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,53.895,6.072,52.498,6.072,52.498,0.205,6.171,1,1,0,0,1,0,1,0.433652,0.099,1.006,0.498022,3,64,64,0.011666,0.008,0.018,0.005508,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35222,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,62.634,4.223,53.621,4.223,53.621,0.425,4.297,1,1,0,0,1,0,1,2.973901,0.074,8.437,4.734096,3,64,64,0.014666,0.012,0.018,0.003055,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35342,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,30.41,0.789,15.857,0.789,15.857,0.121,0.896,1,1,0,0,1,0,1,0.122329,0.107,0.152,0.025697,3,64,64,0.010666,0.009,0.013,0.002082,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35390,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,8.268,1.008,3.472,1.008,3.472,0.101,1.094,1,1,0,0,1,0,1,0.099997,0.086,0.123,0.020075,3,64,64,0.009333,0.006,0.012,0.003055,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35364,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,15.819,10.321,11.821,10.321,11.821,0.236,10.423,1,1,0,0,1,0,1,0.20466,0.102,0.294,0.096692,3,64,64,0.011333,0.008,0.018,0.005774,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35410,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,14.729,0.917,2.725,0.917,2.725,0.126,1.008,1,1,0,0,1,0,1,0.117663,0.091,0.146,0.027538,3,64,64,0.007333,0.004,0.01,0.003055,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35332,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,59.137,6.007,27.997,6.007,27.997,0.159,6.177,1,1,0,0,1,0,1,1.001967,0.138,2.698,1.468866,3,64,64,0.013333,0.007,0.021,0.007095,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35352,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,60.11,0.822,14.79,0.822,14.79,0.152,1.757,1,1,0,0,1,0,1,2.093264,0.121,5.224,2.741615,3,64,64,0.019999,0.011,0.031,0.010149,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
192.168.21.225,35338,6,0,5,3,333,1,333,0,0,0,1,1,192.168.21.70,80,4,0,4,1,48,1,48,0,0,0,1,1,1.68406E+12,1.68406E+12,73.704,0.801,22.39,0.801,22.39,0.146,0.913,1,1,0,0,1,0,1,1.155295,0.112,3.222,1.789814,3,64,64,0.01,0.007,0.014,0.003606,3,63,63,0,0,0,0,0,0,1,1,7,1,0,1460,333,333,64256,64240,0,333,333,333,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,48,48,65160,64896,0,48,48,48,0,0,0,0,0,0,0,0,0,1,1,401,1,1,-,-,0,0,0,0,0,0,0,0,0,-,-,0,0,Normal
